ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
38	20S proteasome	Mouse	proteasome	None	O09061;O55234;O70435;P49722;P70195;P99026;Q60692;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1	19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442	MI:0019- coimmunoprecipitation	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	Proteasome subunit beta type-1;Proteasome subunit beta type-5 ;Proteasome subunit alpha type-3;Proteasome subunit alpha type-2;Proteasome subunit beta type-7 ;Proteasome subunit beta type-4;Proteasome subunit beta type-6 ;Proteasome subunit alpha type-6;Proteasome subunit alpha type-4;Proteasome subunit beta type-3;Proteasome subunit beta type-2;Proteasome subunit alpha type-1;Proteasome subunit alpha type-7;Proteasome subunit alpha type-5	Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None	None	10436176
39	Immunoproteasome	Mouse	20S immunoproteasome; proteasome	None	O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1	19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442	MI:0019-coimmunoprecipitation	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;36.25.16.03.05;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus	Proteasome subunit beta type-1;Proteasome subunit beta type-10;Proteasome subunit alpha type-3;Proteasome subunit beta type-8;Proteasome subunit beta type-9;Proteasome subunit alpha type-2;Proteasome subunit beta type-4;Proteasome subunit alpha type-6;Proteasome subunit alpha type-4;Proteasome subunit beta type-3;Proteasome subunit beta type-2;Proteasome subunit alpha type-1;Proteasome subunit alpha type-7;Proteasome subunit alpha type-5	Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None	None	10436176
40	COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)	Mouse	signalosome; COP9 complex; CSN complex	brain	O35864;O88543;O88544;O88545;P61202;Q8VBV7;Q99LD4;Q9CZ04	26754;26572;26891;26893;12848;108679;209318;26894	MI:0019-coimmunoprecipitation	None	None	None	None	COP9 signalosome complex subunit 5;COP9 signalosome complex subunit 3;COP9 signalosome complex subunit 4;COP9 signalosome complex subunit 6;COP9 signalosome complex subunit 2;COP9 signalosome complex subunit 8;COP9 signalosome complex subunit 1;COP9 signalosome complex subunit 7a	Cops5;Cops3;Cops4;Cops6;Cops2;Cops8;Gps1;Cops7a	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Since the authors did not specify Csn7, we used isoform Csn7a.	None	Csn5, Jab1, Kic2;Csn3;Csn4;Csn6;Csn2, Trip15;Csn8;Cops1, Csn1;Csn7a	None	9707402
41	Mi-2/NuRD-MTA3 complex	Human	None	HeLa and 293T cells	O94776;O95983;P41182;Q13547;Q9BTC8	9219;53615;604;3065;57504	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;B-cell lymphoma 6 protein;Histone deacetylase 1;Metastasis-associated protein MTA3	MTA2;MBD3;BCL6;HDAC1;MTA3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The transcriptional repressor BCL-6 regulates B lymphocyte cell fate during the germinal center reaction by preventing terminal differentiation of B lymphocytes into plasma cells until appropriate signals are received. A cofactor, MTA3, a cell type-specific subunit of the corepressor complex Mi-2/NuRD, for BCL-6-dependent cell fate determination is reported. MTA3 is expressed in the same pattern in germinal centers as BCL-6. BCL-6 physically interacts with Mi-2/NuRD and this interaction is sensitive to BCL-6 acetylation status.	MTA1L1 PID;None;BCL5 LAZ3 ZBTB27 ZNF51;RPD3L1;KIAA1266	None	15454082
42	Cask-Mint-Veli tripartite complex	Rat	None	brain	O35430;Q62915;Q9Z250	83589;29647;85327	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006461;GO:0048489;GO:0016079;GO:0007268;GO:0007155;GO:0030054	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	14.10;20.09.16.09.05;34.03.01;34.07;70.06	assembly of protein complexes;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK;Protein lin-7 homolog A	Apba1;Cask;Lin7a	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	This complex acts as a nucleation site for the assembly of proteins involved in synaptic vesicle exocytosis and synaptic junctions.	Mint1 X11;None;Mals1 Veli1	None	9753324
43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029-cosedimentation through density gradients;MI:0007-anti tag coimmunoprecipitation	GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2	PSEN1;NCSTN;APH1A;PSENEN	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	AD3, PS1, PSNL1;KIAA0253;PSF;PEN2	Gamma-secretase is causally implicated in Alzheimer's disease.	12740439
44	CASK-MINT complex	Mouse	None	brain	B2RUJ5;O70589	319924;12361	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0006461;GO:0048489;GO:0016079	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis	14.10;20.09.16.09.05	assembly of protein complexes;synaptic vesicle exocytosis	Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK	Apba1;Cask	Mus musculus (Mouse);Mus musculus (Mouse)	None	The interaction between CASK and Mint1 was resistant to salt concentrations of up to 3 M NaCl, indicating that binding is not purely electrostatic (PMID:9753324).	Mint1, X11, Lin-10;mLin-2	None	9753324
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029-cosedimentation through density gradients;MI:0007-anti tag coimmunoprecipitation	GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2	PSEN1;NCSTN;APH1A;PSENEN	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	AD3, PS1, PSNL1;KIAA0253;PSF;PEN2	Gamma-secretase is causally implicated in Alzheimer's disease.	15274632
46	AP2 adaptor complex	Mammalia	None	None	P17427;P62743;P63010;P84092	11772;232910;163;116563	MI:0004- affinity chromatography technologies; MI:0114- x-ray crystallography	GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0016192;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle	14.04;20.01.10;14.10;20.09.07;20.09.18.09.01;70.09	protein targeting, sorting and translocation;protein transport;assembly of protein complexes;vesicular transport (Golgi network, etc.);endocytosis;intracellular transport vesicles	AP-2 complex subunit alpha-2;AP-2 complex subunit sigma ;AP-2 complex subunit beta ;AP-2 complex subunit mu	Ap2a2;Ap2s1;AP2B1;Ap2m1	Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Rattus norvegicus (Rat)	None	None	Adtab;Ap17 Claps2;ADTB2 CLAPB1;	None	12086608
47	DNA polymerase alpha-primase complex	Mouse	None	None	P20664;P33609;P33610;P33611	19075;18968;19076;18969	MI:0027- cosedimentation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA primase small subunit;DNA polymerase alpha catalytic subunit;DNA primase large subunit;DNA polymerase alpha subunit B	Prim1;Pola1;Prim2;Pola2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	In growing mouse FM3A cells, the transcripts of the four subunits are present throughout the cell cycle and increase slightly prior to the S phase.	None;Pola;None;None	None	8463324
48	RGS7-Gbeta5-Galphaq complex	Mammalia	None	None	O46470;P21279;P62881	281452;14682;14697	MI:0055- fluorescent resonance energy transfer	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-5	RGS7;Gnaq;Gnb5	Bos taurus (Bovine);Mus musculus (Mouse);Mus musculus (Mouse)	For the FRET experiments the authors used murine Gbeta5, bovine RGS7, and murine Galphaq.	None	;;	None	12670932
49	DNMT3B complex	Human	None	None	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	MI:0019- coimmunoprecipitation	GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.01.09.01;10.01.09.05;10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2;Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Structural maintenance of chromosomes protein 4;DNA	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	SNF2H, WCRF135;KIF4;CAPE SMC2L1;RPD3L1;None;CAPC SMC4L1;None	None	15148359
50	RAB5-RABAPTIN5\u2013RABEX5 complex	Human	RAB5A-RABEP1\u2013RABGEF complex	HeLa cells	P20339;Q15276;Q9UJ41	5868;9135;27342	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	Ras-related protein Rab-5A;Rab GTPase-binding effector protein 1;Rab5 GDP/GTP exchange factor	RAB5A;RABEP1;RABGEF1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The Rab5-binding protein, Rabex-5 forms a tight physical complex with Rabaptin-5, and this complex is essential for endocytic membrane fusion. Both Rabaptin-5 and Rabex-5 are recruited by immobilized Rab5.	RAB5;RABAPTIN-5, RAB5EP, RABPT5, RABPT5A;RABEX5	None	9323142
51	CCT complex (chaperonin containing TCP1 complex)	Mouse	CCT micro-complex	None	P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318	21454;12469;12468;12461;12464;12465;None;12462	MI:0029-cosedimentation through density gradients	GO:0050821;GO:0006457;GO:0005524;GO:0005737	protein stabilization;protein folding;ATP binding;cytoplasm	14.01;16.19.03;70.03	protein folding and stabilization;ATP binding;cytoplasm	T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma	Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT. Sequence analysis of the TriC subunits was shown in PMID:2377466, PMID:7953530 and PMID:7890169.	Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg	None	9250675
52	CCT complex (chaperonin containing TCP1 complex)	Mouse	TRiC	None	P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318	21454;12469;12468;12461;12464;12465;None;12462	MI:0029-cosedimentation through density gradients;MI:0091-chromatography technologies	GO:0050821;GO:0006457;GO:0005524;GO:0005737	protein stabilization;protein folding;ATP binding;cytoplasm	14.01;16.19.03;70.03	protein folding and stabilization;ATP binding;cytoplasm	T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma	Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530 and PMID:7890169.	Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg	None	9013858
